transaction_id,export_value,weight,logistics_cost_rate,tax_rate,region_code
1000,184226.26120084044,7043.0019016447495,0.0588739474486638,0.0,3
1001,130228.14198515181,8254.828937052152,0.02472000983662006,0.13,0
1002,151973.88479718947,2148.73996806415,0.04341688434210729,0.05,1
1003,32166.340780033326,4042.1792277780087,0.13071272445638316,0.13,1
1004,22027.311857972014,4924.664573148844,0.14399154501311354,0.13,2
1005,158660.4013171159,5383.350240129294,0.08214772321028242,0.05,0
1006,68599.43272172532,715.0507251934605,0.07215825002319805,0.08,1
1007,110508.22518781369,8373.510643152598,0.09419435604750265,0.05,1
1008,51845.85929426117,5366.960908782808,0.09488383863094349,0.13,1
1009,111357.47048730146,4649.707947334029,0.129606398532688,0.13,0
1010,83108.1282175784,5438.400608084116,0.05531277523858679,0.2,1
1011,144462.4180195526,3537.6550018021585,0.05681109942734807,0.13,3
1012,168152.58851083298,9831.804801830553,0.03250111656921315,0.13,2
1013,119753.82279660317,8441.420931081022,0.058448617531081076,0.13,0
1014,62750.13998650512,9579.481445054575,0.06935023843976404,0.0,0
1015,59798.44967752302,6525.388015543779,0.06346304971643511,0.08,0
1016,142591.4627081987,9908.203752534948,0.015057035195683494,0.13,0
1017,87406.30388700166,2063.5588943364482,0.1498152276348467,0.05,0
1018,16176.6171232052,9359.536768429407,0.049382019684409355,0.05,2
1019,150670.3248078887,2381.7401486620147,0.1493895738927393,0.2,3
1020,93201.03754656287,4809.361389045946,0.02573669169192179,0.0,3
1021,39276.07391610825,8124.752428865941,0.10776060829695515,0.08,0
1022,14628.51486632497,2056.007602339866,0.05570645500529664,0.13,2
1023,62032.691045516185,148.02167869789633,0.039485099123095224,0.08,1
1024,18025.83056283495,172.74695436999298,0.03738334893856774,0.0,0
1025,151475.5147682693,4062.4291132628105,0.07259015968314707,0.08,0
1026,17435.447195727964,4141.293565313379,0.0901165767532912,0.05,3
1027,89222.12228529542,7527.310129914679,0.06213076359225989,0.13,1
1028,76013.62062138825,7144.087955424573,0.1031110957557658,0.0,0
1029,34634.44751004937,4211.6003595204265,0.09069896337829508,0.2,0
1030,111608.51624460357,7866.828683025773,0.04349391874958041,0.2,2
1031,91442.14233245506,9237.733611336183,0.1332979820780606,0.13,1
1032,12031.95545056765,7860.850502812996,0.08835713048022241,0.13,3
1033,165464.17228975354,5304.63209268463,0.09297823709901333,0.2,1
1034,58292.073210346905,6444.346747006762,0.11203230723523104,0.13,3
1035,37952.117758204135,9368.94467373873,0.10218711560548929,0.05,1
1036,130652.10216862889,7931.189806664119,0.05034763556555946,0.2,0
1037,25970.51036650555,4103.769325399832,0.08581334724493993,0.05,2
1038,73882.79413283503,7674.3970215533855,0.036765205674724674,0.08,0
1039,80212.21333254324,489.4173699910657,0.11870609526991115,0.2,2
1040,91883.40245309744,4533.365077306514,0.14435076032172114,0.08,2
1041,195525.26897961192,2069.88115556503,0.07976732630831954,0.08,3
1042,147231.83176541008,3071.385323620473,0.04967140585037877,0.08,2
1043,65885.83637457484,9854.5548495775,0.03871590518008503,0.2,0
1044,179477.2716623404,9716.481541059655,0.11032171569154617,0.13,0
1045,157738.3510590387,7903.699559196423,0.05927102954858931,0.13,0
1046,56090.06656023554,3149.981735857591,0.0699556177538194,0.0,2
1047,65349.22130021384,752.7327296655234,0.014903416968555223,0.2,1
1048,30242.872805631825,3964.4216042219546,0.038523370292460925,0.0,0
1049,87323.4144655506,9608.699245500164,0.05617466107619735,0.0,1
1050,188254.1818186347,4194.215009713376,0.1330250743232937,0.13,3
1051,76573.3602663072,2074.9061402315265,0.0769091373987264,0.0,3
1052,89781.1196731625,3644.1137937012627,0.013840434572350482,0.2,2
1053,183833.24310006725,4412.536164871684,0.14409099148632765,0.08,3
1054,189722.31459510417,3136.129896236923,0.12710640954723906,0.13,3
1055,54680.72487729825,5347.24206088005,0.09515658036340974,0.0,1
1056,143392.1977093044,7623.406826418574,0.015911638941070727,0.0,3
1057,14745.398943738968,9880.900813512315,0.12892448367881656,0.2,2
1058,31275.06647108978,6936.128284876912,0.09535399649659541,0.05,2
1059,103768.65890580723,7758.421644222186,0.14056540730617062,0.2,2
1060,119869.05892484999,2233.827203801921,0.13433063589619654,0.05,0
1061,68745.228688285,122.92397501898544,0.08627510189883854,0.08,2
1062,33238.81740245348,1449.5926939608935,0.0876716506368677,0.13,1
1063,55239.50562261143,9710.65150474519,0.08315778792534598,0.0,2
1064,172201.94823754902,6013.663004524837,0.038728486123194565,0.13,0
1065,138374.8816479225,1849.4945584433335,0.03810810135793713,0.0,2
1066,199733.35769832725,7629.439375777607,0.03246533015504449,0.08,1
1067,67293.85479360374,5085.44668711686,0.14557014225515216,0.08,3
1068,93414.60419173058,4412.819953061681,0.019548155075375245,0.08,1
1069,174186.32466610454,3985.528968133752,0.06303372915106041,0.13,2
1070,129511.82526337217,2198.812123453406,0.08039027192448141,0.2,0
1071,69718.99888667479,4115.892645080568,0.012070368946737233,0.13,2
1072,110685.63838584699,6165.523591704409,0.11821863024721704,0.05,2
1073,26903.142723933193,6299.00086858981,0.08270203653332389,0.0,0
1074,164222.07150698858,5694.979395305978,0.1024103379282497,0.2,0
1075,48081.6710378238,4022.9141035733132,0.06314675306973537,0.08,1
1076,105419.98228126466,2753.919134881421,0.05152552280031989,0.05,2
1077,107587.11474532976,5660.1420844550075,0.13318907792938212,0.2,1
1078,59032.29425227619,3478.9059303810413,0.09313192867046538,0.2,1
1079,181362.02317380728,1306.46188945209,0.011285898647398061,0.0,3
1080,86983.2656954044,2763.1855415011096,0.02331448088122149,0.2,3
1081,190057.82809209038,4702.464210843022,0.1057346828224185,0.2,1
1082,158361.8804230477,2463.4157141915903,0.12239207534523652,0.0,1
1083,98901.6447177698,3715.07102985631,0.1377432628340717,0.05,3
1084,7324.7029486374495,3182.348613964538,0.10548988815454773,0.13,0
1085,16645.552238303342,1591.9596186097724,0.07458086057879798,0.13,0
1086,166014.96092706366,5930.579129593428,0.05533162466875952,0.2,2
1087,83904.2125184173,2250.706972060267,0.12766370591804296,0.08,1
1088,15364.856901847957,5512.399973329974,0.04115231627042693,0.0,3
1089,55629.61440038618,3226.2877040966396,0.08901713137057134,0.05,3
1090,59824.37890597299,4294.0071880538335,0.032816796051312165,0.2,1
1091,188944.09300717924,2317.0258013847833,0.08904677207933286,0.13,1
1092,179257.72512728823,7909.100247481979,0.08141684471055978,0.13,1
1093,44446.40755054182,7711.459370082431,0.12739250405163358,0.2,3
1094,24570.357703227877,6852.563307308013,0.05596175187308314,0.13,0
1095,116743.39777951082,4631.757110145369,0.06825178168635028,0.2,0
1096,150348.58795902997,5219.338256478403,0.13872928939837498,0.05,1
1097,122148.29331062862,5059.489081584024,0.07124653565992668,0.05,3
1098,182301.71086336125,3529.951314836076,0.06097083444393542,0.13,0
1099,188022.66367034882,2551.230638979289,0.015911371629423007,0.2,1
1100,114505.38963215562,5604.133591209084,0.09200922520783697,0.08,2
1101,178712.16850474608,8543.668462054122,0.12493237781684267,0.2,3
1102,65933.26596052395,5762.945753171106,0.1430564778792466,0.2,0
1103,155355.43954556517,640.3641071209037,0.10151550051646481,0.08,3
1104,46661.888474650514,6864.582575945816,0.14252461418224574,0.08,2
1105,61227.157280980944,6191.59575263281,0.08702659294748279,0.05,3
1106,58321.34506249533,4765.059655174422,0.03046446986183419,0.05,3
1107,53457.63888372706,5533.606767127874,0.016232621905054125,0.2,2
1108,7822.5349973218445,8083.282061839151,0.0547474404765686,0.0,2
1109,123777.03038909154,7622.358465022545,0.015366838829515816,0.2,2
1110,173059.93301393252,8141.011208737797,0.08193774853550863,0.08,2
